Sample,TranAlignPct
Aip02:78.25
Aip05:75.30
Aip06:73.26
Aip12:76.79
Aip13:76.31
Aip14:76.13
Aip15:76.18
Aip17:78.62
Aip18:76.96
Aip19:74.96
Aip20:68.33
Aip21:76.37
Aip23:80.04
Aip24:78.97
Aip25:77.60
Aip26:75.61
Aip28:69.14
Aip29:77.82
Aip30:73.30
Aip32:77.00
Aip33:74.79
Aip34:72.70
Aip35:75.08
Aip36:80.07
Unk:88.88
